game_id,season,is_starter,player_name,MIN,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,two_point_field_goals_made,two_point_field_goals_attempted,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
225g2kfh1838,2025,TRUE,Dearica Hamby,15,5,13,0,2,1,1,5,11,13,4,9,2,0,0,0,0,12
225g2kfh1838,2025,TRUE,Jordin Canada,14,4,8,0,1,1,2,4,7,2,0,2,3,0,0,2,3,10
225g2kfh1838,2025,TRUE,Rhyne Howard,24,2,20,0,8,2,2,2,12,3,0,3,1,0,2,1,2,8
225g2kfh1838,2025,FALSE,Aliyah Boston,11,6,10,0,0,0,0,6,10,6,3,3,0,0,0,1,0,12
225g2kfh1838,2025,FALSE,Rae Burrell,13,1,6,0,2,1,3,1,4,7,1,6,1,0,0,3,1,4
225g2kfh1838,2025,FALSE,Arike Ogunbowale,DNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2bp02n0q27tj,2025,TRUE,Chelsea Gray,24,11,24,4,7,0,0,7,17,5,2,3,7,4,1,4,2,26
2bp02n0q27tj,2025,TRUE,Angel Reese,24,7,14,0,0,1,2,7,14,17,2,15,4,1,1,3,4,16
2bp02n0q27tj,2025,TRUE,Brittney Sykes,11,2,10,0,1,0,1,2,9,5,2,3,0,0,0,1,3,4
2bp02n0q27tj,2025,FALSE,Lexie Hull,19,4,9,0,3,1,1,4,6,3,0,3,2,1,1,2,4,10
2bp02n0q27tj,2025,FALSE,Ariel Atkins,5,1,2,0,0,0,0,1,2,0,0,0,2,1,0,2,1,2
2bp02n0q27tj,2025,FALSE,Azurá Stevens,DNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2bp02n0q27tj,2025,FALSE,Kahleah Copper,DNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3bofd398uen2,2025,TRUE,Kayla McBride,20,8,18,4,10,5,5,4,8,9,0,9,3,0,0,1,1,31
3bofd398uen2,2025,TRUE,Tiffany Hayes,19,8,24,1,8,4,6,7,16,11,2,9,3,1,0,5,5,24
3bofd398uen2,2025,TRUE,Stefanie Dolson,15,2,2,1,1,2,2,1,1,6,2,4,4,0,2,2,6,9
3bofd398uen2,2025,FALSE,Kate Martin,16,3,8,1,5,0,1,2,3,6,2,4,0,0,0,2,4,7
3bofd398uen2,2025,FALSE,Natisha Hiedeman,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
3bofd398uen2,2025,FALSE,Jackie Young,DNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3bofd398uen2,2025,FALSE,Alyssa Thomas,DNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6vgjcmphd6wm,2025,TRUE,Breanna Stewart,18,8,17,2,7,5,6,6,10,11,1,10,3,2,0,1,0,27
6vgjcmphd6wm,2025,TRUE,Rickea Jackson,18,10,21,2,6,1,1,8,15,4,1,3,1,1,0,1,3,24
6vgjcmphd6wm,2025,TRUE,Courtney Vandersloot,13,3,12,0,5,1,1,3,7,7,4,3,4,0,0,2,1,8
6vgjcmphd6wm,2025,FALSE,Aaliyah Edwards,7,3,3,0,0,1,2,3,3,3,1,2,0,0,0,2,2,8
6vgjcmphd6wm,2025,FALSE,NaLyssa Smith,5,1,2,0,0,0,0,1,2,0,0,0,1,0,0,1,3,2
6vgjcmphd6wm,2025,FALSE,DiJonai Carrington,DNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6vgjcmphd6wm,2025,FALSE,Jewell Loyd,DNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73tp1uzii8x2,2025,TRUE,Kayla McBride,19,6,13,0,5,4,4,6,8,7,1,6,2,0,0,3,0,18
73tp1uzii8x2,2025,TRUE,Natisha Hiedeman,17,4,11,1,3,1,1,3,8,3,0,3,3,0,0,3,6,11
73tp1uzii8x2,2025,TRUE,Stefanie Dolson,16,3,8,1,2,0,0,2,6,5,1,4,1,1,0,2,0,7
