date,game_id,team,elo_rating,result,games_played,games_remaining,remaining_estimated_wins,wins,losses
NA,NA,Rose,1500,NA,0,16,8.282578575695,0,0
NA,NA,Lunar Owls,1500,NA,0,15,8.027019348221128,0,0
NA,NA,Mist,1500,NA,0,14,6.787994115896363,0,0
NA,NA,Laces,1500,NA,0,14,6.911963193936634,0,0
NA,NA,Phantom,1500,NA,0,14,6.805854423954483,0,0
NA,NA,Vinyl,1500,NA,0,15,6.980279399641164,0,0
NA,NA,Breeze,1500,NA,0,0,0,0,0
NA,NA,Hive,1500,NA,0,0,0,0,0
2025-01-17,jcdgg9yavn4e,Mist,1484,0,1,13,6.161391158896808,0,1
2025-01-17,jcdgg9yavn4e,Rose,1484,0,1,15,7.3839867318233186,0,1
2025-01-17,jcdgg9yavn4e,Lunar Owls,1516,0,1,14,7.786804515094806,1,0
2025-01-17,jcdgg9yavn4e,Vinyl,1516,0,1,14,6.876306978760513,1,0
2025-01-18,cy9e2nxmf95w,Phantom,1484,0,1,13,5.980659404797018,0,1
2025-01-18,cy9e2nxmf95w,Lunar Owls,1530.5304984710244,1,2,13,7.614458071326286,2,0
2025-01-18,cy9e2nxmf95w,Laces,1516,0,1,13,6.601214592425315,1,0
2025-01-18,cy9e2nxmf95w,Rose,1469.4695015289756,1,2,14,6.780440917928425,0,2
2025-01-20,m9sh1b3jm0p1,Vinyl,1530.5304984710244,1,2,13,6.5155784408632895,2,0
2025-01-20,m9sh1b3jm0p1,Laces,1530.5304984710244,1,2,12,6.265689391749962,2,0
2025-01-20,m9sh1b3jm0p1,Phantom,1469.4695015289756,1,2,12,5.1999918798306695,0,2
2025-01-20,m9sh1b3jm0p1,Mist,1469.4695015289756,1,2,12,5.407167861617138,0,2
2025-01-24,6vgjcmphd6wm,Phantom,1485.4695015289756,1,3,11,4.929883320756087,1,2
2025-01-24,6vgjcmphd6wm,Laces,1546.5304984710244,1,3,11,5.901636856225514,3,0
2025-01-24,6vgjcmphd6wm,Mist,1453.4695015289756,1,3,11,4.611619484932236,0,3
2025-01-24,6vgjcmphd6wm,Vinyl,1514.5304984710244,1,3,12,5.670935581922414,2,1
2025-01-25,nyf4d8danani,Mist,1438.2058083224977,0,4,10,4.057442377165635,0,4
2025-01-25,nyf4d8danani,Lunar Owls,1544.466920433496,1,3,12,7.203282011362535,3,0
2025-01-25,nyf4d8danani,Rose,1484.7331947354535,0,3,13,6.547972644082816,1,2
2025-01-25,nyf4d8danani,Phantom,1471.533079566504,1,4,10,4.417705340194295,1,3
