"week_number","date","team","team_score","opponent","opponent_score","game_result","wins","losses","point_differential","rank","season"
13,"2024-05-24","Rose",94,"Mist",89,1,8,5,5,1,2025
14,"2024-05-31","Lunar Owls",92,"Laces",87,1,8,6,5,1,2025
14,"2024-05-31","Rose",88,"Mist",93,0,8,6,-5,2,2025
12,"2024-05-17","Rose",92,"Mist",86,1,7,5,6,1,2025
13,"2024-05-24","Lunar Owls",91,"Laces",88,1,7,6,3,2,2025
13,"2024-05-24","Vinyl",90,"Phantom",87,1,7,6,3,3,2025
14,"2024-05-31","Phantom",91,"Vinyl",89,1,7,7,2,3,2025
14,"2024-05-31","Vinyl",89,"Phantom",91,0,7,7,-2,4,2025
12,"2024-05-17","Vinyl",93,"Phantom",88,1,6,6,5,2,2025
14,"2024-05-31","Mist",93,"Rose",88,1,6,8,5,5,2025
10,"2024-05-03","Lunar Owls",90,"Laces",86,1,6,4,4,1,2025
11,"2024-05-10","Phantom",90,"Vinyl",87,1,6,5,3,1,2025
11,"2024-05-10","Rose",88,"Mist",85,1,6,5,3,2,2025
12,"2024-05-17","Laces",90,"Lunar Owls",87,1,6,6,3,3,2025
11,"2024-05-10","Lunar Owls",89,"Laces",92,0,6,5,-3,3,2025
12,"2024-05-17","Lunar Owls",87,"Laces",90,0,6,6,-3,4,2025
13,"2024-05-24","Laces",88,"Lunar Owls",91,0,6,7,-3,4,2025
13,"2024-05-24","Phantom",87,"Vinyl",90,0,6,7,-3,5,2025
12,"2024-05-17","Phantom",88,"Vinyl",93,0,6,6,-5,5,2025
14,"2024-05-31","Laces",87,"Lunar Owls",92,0,6,8,-5,6,2025
9,"2024-04-26","Lunar Owls",93,"Laces",87,1,5,4,6,1,2025
7,"2024-04-12","Rose",93,"Mist",88,1,5,2,5,1,2025
8,"2024-04-19","Vinyl",94,"Phantom",89,1,5,3,5,1,2025
10,"2024-05-03","Phantom",92,"Vinyl",88,1,5,5,4,2,2025
10,"2024-05-03","Mist",93,"Rose",89,1,5,5,4,3,2025
11,"2024-05-10","Laces",92,"Lunar Owls",89,1,5,6,3,4,2025
11,"2024-05-10","Vinyl",87,"Phantom",90,0,5,6,-3,5,2025
11,"2024-05-10","Mist",85,"Rose",88,0,5,6,-3,6,2025
9,"2024-04-26","Vinyl",88,"Phantom",92,0,5,4,-4,2,2025
10,"2024-05-03","Rose",89,"Mist",93,0,5,5,-4,4,2025
10,"2024-05-03","Vinyl",88,"Phantom",92,0,5,5,-4,5,2025
8,"2024-04-19","Rose",85,"Mist",90,0,5,3,-5,2,2025
9,"2024-04-26","Rose",86,"Mist",91,0,5,4,-5,3,2025
13,"2024-05-24","Mist",89,"Rose",94,0,5,8,-5,6,2025
12,"2024-05-17","Mist",86,"Rose",92,0,5,7,-6,6,2025
5,"2024-03-29","Rose",93,"Mist",86,1,4,1,7,1,2025
6,"2024-04-05","Lunar Owls",90,"Laces",83,1,4,2,7,1,2025
7,"2024-04-12","Vinyl",91,"Phantom",86,1,4,3,5,2,2025
9,"2024-04-26","Mist",91,"Rose",86,1,4,5,5,4,2025
8,"2024-04-19","Laces",92,"Lunar Owls",88,1,4,4,4,3,2025
9,"2024-04-26","Phantom",92,"Vinyl",88,1,4,5,4,5,2025
7,"2024-04-12","Lunar Owls",86,"Laces",89,0,4,3,-3,3,2025
8,"2024-04-19","Lunar Owls",88,"Laces",92,0,4,4,-4,4,2025
10,"2024-05-03","Laces",86,"Lunar Owls",90,0,4,6,-4,6,2025
6,"2024-04-05","Rose",87,"Mist",92,0,4,2,-5,2,2025
9,"2024-04-26","Laces",87,"Lunar Owls",93,0,4,5,-6,6,2025
4,"2024-03-22","Lunar Owls",91,"Laces",84,1,3,1,7,1,2025
8,"2024-04-19","Mist",90,"Rose",85,1,3,5,5,5,2025
3,"2024-03-15","Rose",87,"Mist",83,1,3,0,4,1,2025
5,"2024-03-29","Vinyl",89,"Phantom",86,1,3,2,3,2,2025
6,"2024-04-05","Phantom",90,"Vinyl",87,1,3,3,3,3,2025
7,"2024-04-12","Laces",89,"Lunar Owls",86,1,3,4,3,4,2025
5,"2024-03-29","Lunar Owls",87,"Laces",89,0,3,2,-2,3,2025
6,"2024-04-05","Vinyl",87,"Phantom",90,0,3,3,-3,4,2025
7,"2024-04-12","Phantom",86,"Vinyl",91,0,3,4,-5,5,2025
8,"2024-04-19","Phantom",89,"Vinyl",94,0,3,5,-5,6,2025
