date,game_id,team,opponent,team_score,opponent_score,won,team_game_index,wins_to_date,losses_to_date,games_played_to_date,games_remaining,remaining_estimated_wins,wins,losses,total_estimated_wins
2026-01-05,24w1j54rlgk9,Hive,Mist,56,72,0,1,0,1,1,13,6.132311752478785,0,1,6.132311752478785
2026-01-05,24w1j54rlgk9,Mist,Hive,72,56,1,1,1,0,1,13,6.831123691957944,1,0,7.831123691957944
2026-01-05,8z57p4vocgku,Laces,Vinyl,58,42,1,1,1,0,1,13,6.963978597262498,1,0,7.963978597262498
2026-01-05,8z57p4vocgku,Vinyl,Laces,42,58,0,1,0,1,1,13,6.214096017720098,0,1,6.214096017720098
2026-01-05,justsjfaumpa,Breeze,Phantom,69,62,1,1,1,0,1,13,6.874765822203433,1,0,7.874765822203433
2026-01-05,justsjfaumpa,Phantom,Breeze,62,69,0,1,0,1,1,13,6.397171563468456,0,1,6.397171563468456
2026-01-05,rku5vtdbh0g9,Lunar Owls,Rose,60,80,0,1,0,1,1,13,5.971271708187354,0,1,5.971271708187354
2026-01-05,rku5vtdbh0g9,Rose,Lunar Owls,80,60,1,1,1,0,1,13,6.6298380576770155,1,0,7.6298380576770155
2026-01-09,535bs6iqcihk,Rose,Vinyl,69,67,1,2,2,0,2,12,6.299198052730271,2,0,8.299198052730272
2026-01-09,535bs6iqcihk,Vinyl,Rose,67,69,0,2,0,2,2,12,5.462286106352526,0,2,5.462286106352526
2026-01-09,kgxtxd4cer7n,Breeze,Hive,73,62,1,2,2,0,2,12,6.531644616426993,2,0,8.531644616426993
2026-01-09,kgxtxd4cer7n,Hive,Breeze,62,73,0,2,0,2,2,12,5.403118632313209,0,2,5.403118632313209
2026-01-10,7ho7jky8vlgx,Lunar Owls,Phantom,60,94,0,2,0,2,2,12,5.322536565551064,0,2,5.322536565551064
2026-01-10,7ho7jky8vlgx,Phantom,Lunar Owls,94,60,1,2,1,1,2,12,6.086704887526045,1,1,7.086704887526045
2026-01-10,d1hw7t1y5d6h,Laces,Mist,81,83,0,2,1,1,2,12,6.2211959123204315,1,1,7.2211959123204315
2026-01-10,d1hw7t1y5d6h,Mist,Laces,83,81,1,2,2,0,2,12,6.687776836123153,2,0,8.687776836123152
2026-01-11,8wxxygkej5rb,Breeze,Rose,69,73,0,3,2,1,3,11,5.7117736687546925,2,1,7.7117736687546925
2026-01-11,8wxxygkej5rb,Rose,Breeze,73,69,1,3,3,0,3,11,5.992443207273044,3,0,8.992443207273045
2026-01-11,94j1mo0zurq0,Hive,Vinyl,66,89,0,3,0,3,3,11,4.6513166247194375,0,3,4.6513166247194375
2026-01-11,94j1mo0zurq0,Vinyl,Hive,89,66,1,3,1,2,3,11,5.187481286956683,1,2,6.187481286956683
2026-01-12,msoh2b5w85lf,Laces,Lunar Owls,84,72,1,3,2,1,3,11,5.843208732068084,2,1,7.843208732068084
2026-01-12,msoh2b5w85lf,Lunar Owls,Laces,72,84,0,3,0,3,3,11,4.752443183829979,0,3,4.752443183829979
2026-01-12,qa0nawipwn7r,Mist,Phantom,61,64,0,3,2,1,3,11,5.973282915033398,2,1,7.973282915033398
2026-01-12,qa0nawipwn7r,Phantom,Mist,64,61,1,3,2,1,3,11,5.907826800999059,2,1,7.907826800999059
2026-01-16,bm2lkss94wnl,Laces,Phantom,76,75,1,4,3,1,4,10,5.6481563080331325,3,1,8.648156308033133
2026-01-16,bm2lkss94wnl,Phantom,Laces,75,76,0,4,2,2,4,10,5.266776195820973,2,2,7.266776195820973
