game_id,season,quarter,time,minute,second,play,pos_team,away_score,home_score
4eqyt7yhtfqo,2026,1,7:00,7,0,Dearica Hamby vs. Aaliyah Edwards (Rebecca Allen gains possession),Lunar Owls,0,0
4eqyt7yhtfqo,2026,1,6:50,6,50,Marina Mabrey makes two point driving layup,Lunar Owls,0,2
4eqyt7yhtfqo,2026,1,6:35,6,35,Rhyne Howard makes two point cutting layup (Courtney Williams assists),Vinyl,2,2
4eqyt7yhtfqo,2026,1,6:35,6,35,Rebecca Allen shooting foul (Rhyne Howard draws the foul),Lunar Owls,2,2
4eqyt7yhtfqo,2026,1,6:35,6,35,Rhyne Howard makes one point free throw,Vinyl,3,2
4eqyt7yhtfqo,2026,1,6:22,6,22,Marina Mabrey makes three point stepback jump shot,Lunar Owls,3,5
4eqyt7yhtfqo,2026,1,6:09,6,9,Dearica Hamby makes two point finger roll layup (Courtney Williams assists),Vinyl,5,5
4eqyt7yhtfqo,2026,1,5:57,5,57,Aaliyah Edwards makes two point finger roll layup (Marina Mabrey assists),Lunar Owls,5,7
4eqyt7yhtfqo,2026,1,5:49,5,49,Rhyne Howard misses two point driving layup,Vinyl,5,7
4eqyt7yhtfqo,2026,1,5:46,5,46,Vinyl offensive rebound,Vinyl,5,7
4eqyt7yhtfqo,2026,1,5:34,5,34,Dearica Hamby misses two point turnaround hook shot,Vinyl,5,7
4eqyt7yhtfqo,2026,1,5:32,5,32,Aaliyah Edwards defensive rebound,Lunar Owls,5,7
4eqyt7yhtfqo,2026,1,5:24,5,24,Aaliyah Edwards misses two point jump shot,Lunar Owls,5,7
4eqyt7yhtfqo,2026,1,5:22,5,22,Courtney Williams defensive rebound,Vinyl,5,7
4eqyt7yhtfqo,2026,1,5:16,5,16,Courtney Williams makes two point running finger roll layup,Vinyl,7,7
4eqyt7yhtfqo,2026,1,5:02,5,2,Rebecca Allen makes three point jump shot (Aaliyah Edwards assists),Lunar Owls,7,10
4eqyt7yhtfqo,2026,1,4:47,4,47,Rhyne Howard makes two point reverse layup (Courtney Williams assists),Vinyl,9,10
4eqyt7yhtfqo,2026,1,4:33,4,33,Rebecca Allen misses three point jump shot,Lunar Owls,9,10
4eqyt7yhtfqo,2026,1,4:31,4,31,Vinyl defensive rebound,Vinyl,9,10
4eqyt7yhtfqo,2026,1,4:14,4,14,Rhyne Howard misses two point jump shot,Vinyl,9,10
4eqyt7yhtfqo,2026,1,4:12,4,12,Marina Mabrey defensive rebound,Lunar Owls,9,10
4eqyt7yhtfqo,2026,1,4:09,4,9,Marina Mabrey misses three point pullup jump shot,Lunar Owls,9,10
4eqyt7yhtfqo,2026,1,4:07,4,7,Rebecca Allen offensive rebound,Lunar Owls,9,10
4eqyt7yhtfqo,2026,1,4:03,4,3,Rebecca Allen makes three point jump shot,Lunar Owls,9,13
4eqyt7yhtfqo,2026,1,3:49,3,49,Courtney Williams makes two point pullup jump shot,Vinyl,11,13
4eqyt7yhtfqo,2026,1,3:37,3,37,Rhyne Howard personal foul (Aaliyah Edwards draws the foul),Vinyl,11,13
4eqyt7yhtfqo,2026,1,3:37,3,37,"Lunar Owls lineup change (Marina Mabrey, Aaliyah Edwards, Skylar Diggins)",Lunar Owls,11,13
4eqyt7yhtfqo,2026,1,3:34,3,34,Rhyne Howard personal foul (Marina Mabrey draws the foul),Vinyl,11,13
4eqyt7yhtfqo,2026,1,3:30,3,30,Skylar Diggins misses two point pullup jump shot,Lunar Owls,11,13
4eqyt7yhtfqo,2026,1,3:28,3,28,Courtney Williams defensive rebound,Vinyl,11,13
4eqyt7yhtfqo,2026,1,3:23,3,23,Aaliyah Edwards shooting foul (Dearica Hamby draws the foul),Lunar Owls,11,13
4eqyt7yhtfqo,2026,1,3:23,3,23,Dearica Hamby misses two point free throw,Vinyl,11,13
4eqyt7yhtfqo,2026,1,3:23,3,23,Aaliyah Edwards defensive rebound,Lunar Owls,11,13
4eqyt7yhtfqo,2026,1,3:08,3,8,Aaliyah Edwards misses two point turnaround hook shot,Lunar Owls,11,13
4eqyt7yhtfqo,2026,1,3:06,3,6,Dearica Hamby defensive rebound,Vinyl,11,13
4eqyt7yhtfqo,2026,1,3:00,3,0,Rhyne Howard makes two point driving reverse layup,Vinyl,13,13
4eqyt7yhtfqo,2026,1,2:48,2,48,"Vinyl lineup change (Dearica Hamby, Rae Burrell, Erica Wheeler)",Vinyl,13,13
4eqyt7yhtfqo,2026,1,2:44,2,44,Marina Mabrey misses three point jump shot,Lunar Owls,13,13
4eqyt7yhtfqo,2026,1,2:42,2,42,Dearica Hamby defensive rebound,Vinyl,13,13
4eqyt7yhtfqo,2026,1,2:37,2,37,Dearica Hamby misses two point driving layup,Vinyl,13,13
4eqyt7yhtfqo,2026,1,2:36,2,36,Aaliyah Edwards defensive rebound,Lunar Owls,13,13
4eqyt7yhtfqo,2026,1,2:36,2,36,Dearica Hamby personal foul (Aaliyah Edwards draws the foul),Vinyl,13,13
4eqyt7yhtfqo,2026,1,2:36,2,36,"Lunar Owls lineup change (Rachel Banham, Skylar Diggins, Aaliyah Edwards)",Lunar Owls,13,13
4eqyt7yhtfqo,2026,1,2:26,2,26,"Vinyl lineup change (Brittney Griner, Rae Burrell, Erica Wheeler)",Vinyl,13,13
4eqyt7yhtfqo,2026,1,2:23,2,23,Skylar Diggins misses two point pullup jump shot,Lunar Owls,13,13
4eqyt7yhtfqo,2026,1,2:21,2,21,Erica Wheeler defensive rebound,Vinyl,13,13
4eqyt7yhtfqo,2026,1,2:13,2,13,Erica Wheeler makes two point running layup,Vinyl,15,13
4eqyt7yhtfqo,2026,1,2:00,2,0,Skylar Diggins turnover (bad pass) (Rae Burrell steals),Lunar Owls,15,13
4eqyt7yhtfqo,2026,1,1:54,1,54,Rae Burrell misses two point pullup jump shot,Vinyl,15,13
4eqyt7yhtfqo,2026,1,1:52,1,52,Brittney Griner offensive rebound,Vinyl,15,13
4eqyt7yhtfqo,2026,1,1:44,1,44,Aaliyah Edwards blocks Brittney Griner's two point layup,Vinyl,15,13
4eqyt7yhtfqo,2026,1,1:42,1,42,Aaliyah Edwards defensive rebound,Lunar Owls,15,13
4eqyt7yhtfqo,2026,1,1:41,1,41,Aaliyah Edwards misses two point layup,Lunar Owls,15,13
4eqyt7yhtfqo,2026,1,1:39,1,39,Rae Burrell defensive rebound,Vinyl,15,13
4eqyt7yhtfqo,2026,1,1:39,1,39,Rachel Banham clear path foul (Rae Burrell draws the foul),Lunar Owls,15,13
4eqyt7yhtfqo,2026,1,1:39,1,39,"Lunar Owls lineup change (Rachel Banham, Skylar Diggins, Temi Fágbénlé)",Lunar Owls,15,13
4eqyt7yhtfqo,2026,1,1:39,1,39,Rae Burrell makes one point free throw,Vinyl,16,13
4eqyt7yhtfqo,2026,1,1:21,1,21,Erica Wheeler misses two point jump shot,Vinyl,16,13
4eqyt7yhtfqo,2026,1,1:19,1,19,Skylar Diggins defensive rebound,Lunar Owls,16,13
4eqyt7yhtfqo,2026,1,1:15,1,15,Rachel Banham makes three point jump shot,Lunar Owls,16,13
4eqyt7yhtfqo,2026,1,1:03,1,3,Rae Burrell turnover (lost ball) (Skylar Diggins steals),Vinyl,16,16
4eqyt7yhtfqo,2026,1,1:02,1,2,Rae Burrell personal foul (Skylar Diggins draws the foul),Vinyl,16,16
4eqyt7yhtfqo,2026,1,0:52,0,52,Temi Fágbénlé makes two point layup (Skylar Diggins assists),Lunar Owls,16,18
4eqyt7yhtfqo,2026,1,0:39,0,39,Erica Wheeler misses two point pullup jump shot,Vinyl,16,18
4eqyt7yhtfqo,2026,1,0:37,0,37,Rachel Banham defensive rebound,Lunar Owls,16,18
4eqyt7yhtfqo,2026,1,0:34,0,34,Rachel Banham misses three point pullup jump shot,Lunar Owls,16,18
4eqyt7yhtfqo,2026,1,0:32,0,32,Rae Burrell defensive rebound,Vinyl,16,18
4eqyt7yhtfqo,2026,1,0:25,0,25,Rachel Banham shooting foul (Rae Burrell draws the foul),Lunar Owls,16,18
4eqyt7yhtfqo,2026,1,0:25,0,25,Rae Burrell makes two point free throw,Vinyl,18,18
4eqyt7yhtfqo,2026,1,0:18,0,18,Temi Fágbénlé offensive foul (Erica Wheeler draws the foul),Lunar Owls,18,18
4eqyt7yhtfqo,2026,1,0:18,0,18,Temi Fágbénlé turnover (offensive foul),Lunar Owls,18,18
4eqyt7yhtfqo,2026,1,0:18,0,18,"Lunar Owls lineup change (Rebecca Allen, Skylar Diggins, Temi Fágbénlé)",Lunar Owls,18,18
4eqyt7yhtfqo,2026,1,0:05,0,5,Rae Burrell turnover (bad pass) (Temi Fágbénlé steals),Vinyl,18,18
4eqyt7yhtfqo,2026,1,0:03,0,3,Rebecca Allen misses three point jump shot,Lunar Owls,18,18
4eqyt7yhtfqo,2026,1,0:01,0,1,Brittney Griner defensive rebound,Vinyl,18,18
4eqyt7yhtfqo,2026,1,0:00,0,0,End of 1st Quarter.,NA,18,18
4eqyt7yhtfqo,2026,2,7:00,7,0,"Vinyl lineup change (Rhyne Howard, Erica Wheeler, Brittney Griner)",Vinyl,18,18
4eqyt7yhtfqo,2026,2,7:00,7,0,Open inbound Vinyl,Vinyl,18,18
4eqyt7yhtfqo,2026,2,6:48,6,48,Erica Wheeler makes two point pullup jump shot,Vinyl,20,18
4eqyt7yhtfqo,2026,2,6:38,6,38,Brittney Griner personal foul (Temi Fágbénlé draws the foul),Vinyl,20,18
4eqyt7yhtfqo,2026,2,6:34,6,34,Skylar Diggins misses two point jump shot,Lunar Owls,20,18
4eqyt7yhtfqo,2026,2,6:31,6,31,Vinyl defensive rebound,Vinyl,20,18
4eqyt7yhtfqo,2026,2,6:26,6,26,Skylar Diggins personal foul (Erica Wheeler draws the foul),Lunar Owls,20,18
4eqyt7yhtfqo,2026,2,6:14,6,14,Rhyne Howard misses two point running jump shot,Vinyl,20,18
4eqyt7yhtfqo,2026,2,6:13,6,13,Brittney Griner offensive rebound,Vinyl,20,18
4eqyt7yhtfqo,2026,2,6:13,6,13,Temi Fágbénlé shooting foul (Brittney Griner draws the foul),Lunar Owls,20,18
4eqyt7yhtfqo,2026,2,6:13,6,13,Brittney Griner makes two point free throw,Vinyl,22,18
4eqyt7yhtfqo,2026,2,6:13,6,13,"Vinyl lineup change (Erica Wheeler, Dearica Hamby, Rhyne Howard)",Vinyl,22,18
4eqyt7yhtfqo,2026,2,6:01,6,1,Skylar Diggins makes two point turnaround jump shot,Lunar Owls,22,20
4eqyt7yhtfqo,2026,2,6:01,6,1,Erica Wheeler shooting foul (Skylar Diggins draws the foul),Vinyl,22,20
4eqyt7yhtfqo,2026,2,6:01,6,1,"Lunar Owls lineup change (Skylar Diggins, Rebecca Allen, Aaliyah Edwards)",Lunar Owls,22,20
4eqyt7yhtfqo,2026,2,6:01,6,1,Skylar Diggins makes one point free throw,Lunar Owls,22,21
4eqyt7yhtfqo,2026,2,6:01,6,1,"Lunar Owls lineup change (Marina Mabrey, Aaliyah Edwards, Rebecca Allen)",Lunar Owls,22,21
4eqyt7yhtfqo,2026,2,5:47,5,47,Erica Wheeler misses three point jump shot,Vinyl,22,21
4eqyt7yhtfqo,2026,2,5:43,5,43,Lunar Owls defensive rebound,Lunar Owls,22,21
4eqyt7yhtfqo,2026,2,5:33,5,33,Erica Wheeler personal foul (Aaliyah Edwards draws the foul),Vinyl,22,21
4eqyt7yhtfqo,2026,2,5:33,5,33,"Vinyl lineup change (Dearica Hamby, Courtney Williams, Rhyne Howard)",Vinyl,22,21
4eqyt7yhtfqo,2026,2,5:29,5,29,Dearica Hamby personal foul (Aaliyah Edwards draws the foul),Vinyl,22,21
4eqyt7yhtfqo,2026,2,5:18,5,18,Aaliyah Edwards makes two point driving layup (Marina Mabrey assists),Lunar Owls,22,23
4eqyt7yhtfqo,2026,2,5:09,5,9,Courtney Williams makes two point pullup jump shot,Vinyl,24,23
4eqyt7yhtfqo,2026,2,4:56,4,56,Rhyne Howard blocks Marina Mabrey's two point driving layup,Lunar Owls,24,23
4eqyt7yhtfqo,2026,2,4:55,4,55,Vinyl defensive rebound,Vinyl,24,23
