game_id,season,team,field_goals,field_goal_pct,three_pointers,three_point_pct,free_throws,free_throw_pct
24w1j54rlgk9,2026,team_a,27-65,41.5,5,27.8,8-11,72.7
24w1j54rlgk9,2026,team_b,21-60,35,2,13.3,6-7,85.7
4eqyt7yhtfqo,2026,team_a,23-51,45.1,2,16.7,7-9,77.8
4eqyt7yhtfqo,2026,team_b,25-61,41,10,40,5-6,83.3
535bs6iqcihk,2026,team_a,26-56,46.4,9,50,3-7,42.9
535bs6iqcihk,2026,team_b,21-49,42.9,8,40,9-10,90
6d69v7ar0xev,2026,team_a,28-58,48.3,7,43.8,10-11,90.9
6d69v7ar0xev,2026,team_b,22-69,31.9,8,30.8,7-10,70
6fc2b21zkjrc,2026,team_a,24-56,42.9,6,37.5,7-8,87.5
6fc2b21zkjrc,2026,team_b,30-68,44.1,8,42.1,8-9,88.9
7ho7jky8vlgx,2026,team_a,22-59,37.3,6,30,5-8,62.5
7ho7jky8vlgx,2026,team_b,37-57,64.9,13,54.2,4-8,50
8wxxygkej5rb,2026,team_a,27-57,47.4,10,43.5,4-6,66.7
8wxxygkej5rb,2026,team_b,28-53,52.8,7,46.7,4-5,80
8z57p4vocgku,2026,team_a,17-48,35.4,4,20,2-4,50
8z57p4vocgku,2026,team_b,25-56,44.6,6,37.5,2-5,40
94j1mo0zurq0,2026,team_a,27-53,50.9,3,21.4,5-8,62.5
94j1mo0zurq0,2026,team_b,34-57,59.6,11,64.7,6-7,85.7
beflzp9vtekt,2026,team_a,24-55,43.6,8,42.1,6-8,75
beflzp9vtekt,2026,team_b,25-49,51,6,31.6,8-9,88.9
bm2lkss94wnl,2026,team_a,26-48,54.2,7,46.7,10-10,100
bm2lkss94wnl,2026,team_b,29-55,52.7,7,35,5-7,71.4
cmbngt41whq3,2026,team_a,25-53,47.2,2,16.7,4-5,80
cmbngt41whq3,2026,team_b,26-53,49.1,5,31.3,7-8,87.5
d1hw7t1y5d6h,2026,team_a,29-59,49.2,9,45,7-8,87.5
d1hw7t1y5d6h,2026,team_b,31-64,48.4,5,20.8,8-12,66.7
f5ka0iwfzzq7,2026,team_a,34-59,57.6,12,48,4-8,50
f5ka0iwfzzq7,2026,team_b,29-58,50,4,25,6-6,100
g6szh1j6cvup,2026,team_a,27-57,47.4,9,47.4,6-10,60
g6szh1j6cvup,2026,team_b,34-68,50,6,31.6,2-3,66.7
justsjfaumpa,2026,team_a,25-61,41,6,30,3-4,75
justsjfaumpa,2026,team_b,26-57,45.6,2,20,8-10,80
kgxtxd4cer7n,2026,team_a,26-57,45.6,1,7.7,10-12,83.3
kgxtxd4cer7n,2026,team_b,27-63,42.9,0,0,4-5,80
m0a5r2dtoddj,2026,team_a,31-65,47.7,9,34.6,5-5,100
m0a5r2dtoddj,2026,team_b,23-49,46.9,4,40,10-11,90.9
msoh2b5w85lf,2026,team_a,31-68,45.6,8,28.6,8-10,80
msoh2b5w85lf,2026,team_b,29-52,55.8,6,33.3,5-8,62.5
qa0nawipwn7r,2026,team_a,25-58,43.1,4,22.2,4-5,80
qa0nawipwn7r,2026,team_b,27-65,41.5,5,25,3-3,100
qp6ewzers2uq,2026,team_a,30-63,47.6,5,25,7-7,100
qp6ewzers2uq,2026,team_b,26-51,51,5,27.8,5-8,62.5
rku5vtdbh0g9,2026,team_a,24-54,44.4,5,27.8,6-8,75
rku5vtdbh0g9,2026,team_b,30-65,46.2,9,32.1,6-7,85.7
