"team.A","team.B","p.A","wins.A","update.A","update.B","home_team_elo","away_team_elo","date","game_id","home_team","away_team","result","home_team_elo_prev","away_team_elo_prev","season"
"Mist","Lunar Owls",0.5,0,-16,16,1484,1516,"2025-01-17","jcdgg9yavn4e","Mist","Lunar Owls",0,1500,1500,2025
"Rose","Vinyl",0.5,0,-16,16,1484,1516,"2025-01-17","jcdgg9yavn4e","Rose","Vinyl",0,1500,1500,2025
"Phantom","Laces",0.5,0,-16,16,1484,1516,"2025-01-18","cy9e2nxmf95w","Phantom","Laces",0,1500,1500,2025
"Lunar Owls","Rose",0.545921922780484,1,14.5304984710245,-14.5304984710245,1530.53049847102,1469.46950152898,"2025-01-18","cy9e2nxmf95w","Lunar Owls","Rose",1,1500,1500,2025
"Vinyl","Phantom",0.545921922780484,1,14.5304984710245,-14.5304984710245,1530.53049847102,1469.46950152898,"2025-01-20","m9sh1b3jm0p1","Vinyl","Phantom",1,1500,1500,2025
"Laces","Mist",0.545921922780484,1,14.5304984710245,-14.5304984710245,1530.53049847102,1469.46950152898,"2025-01-20","m9sh1b3jm0p1","Laces","Mist",1,1500,1500,2025
"Phantom","Mist",0.5,1,16,-16,1485.46950152898,1453.46950152898,"2025-01-24","6vgjcmphd6wm","Phantom","Mist",1,1484,1469.46950152898,2025
"Laces","Vinyl",0.5,1,16,-16,1546.53049847102,1514.53049847102,"2025-01-24","6vgjcmphd6wm","Laces","Vinyl",1,1530.53049847102,1516,2025
"Mist","Rose",0.476990412702438,0,-15.263693206478,15.263693206478,1438.2058083225,1484.73319473545,"2025-01-25","nyf4d8danani","Mist","Rose",0,1484,1469.46950152898,2025
"Lunar Owls","Phantom",0.564486813672766,1,13.9364219624715,-13.9364219624715,1544.4669204335,1471.5330795665,"2025-01-25","nyf4d8danani","Lunar Owls","Phantom",1,1530.53049847102,1469.46950152898,2025
"Vinyl","Lunar Owls",0.457024326759175,0,-14.6247784562936,14.6247784562936,1499.90572001473,1559.09169888979,"2025-01-27","yogi89xx6aw5","Vinyl","Lunar Owls",0,1530.53049847102,1516,2025
"Rose","Laces",0.411992665144324,0,-13.1837652846184,13.1837652846184,1471.54942945084,1559.71426375564,"2025-01-27","yogi89xx6aw5","Rose","Laces",0,1484,1516,2025
"Phantom","Rose",0.499976470625059,1,16.0007529399981,-16.0007529399981,1487.5338325065,1455.54867651084,"2025-01-31","zfxe4imyud75","Phantom","Rose",1,1485.46950152898,1484.73319473545,2025
"Laces","Lunar Owls",0.500895941903297,0,-16.0286701409055,16.0286701409055,1543.68559361474,1575.12036903069,"2025-01-31","zfxe4imyud75","Laces","Lunar Owls",0,1546.53049847102,1559.09169888979,2025
"Mist","Vinyl",0.412128487988331,1,18.8118883843734,-18.8118883843734,1457.01769670687,1481.09383163036,"2025-02-01","sjrwaj31kq62","Mist","Vinyl",1,1438.2058083225,1514.53049847102,2025
"Rose","Laces",0.375813338975785,1,19.9739731527749,-19.9739731527749,1475.52264966361,1523.71162046196,"2025-02-01","sjrwaj31kq62","Rose","Laces",1,1471.54942945084,1559.71426375564,2025
"Mist","Phantom",0.456196334318989,1,17.4017173017924,-17.4017173017924,1474.41941400866,1470.13211520471,"2025-02-03","ez47fwm7a025","Mist","Phantom",1,1457.01769670687,1471.5330795665,2025
"Lunar Owls","Vinyl",0.632105537230669,1,11.7726228086186,-11.7726228086186,1586.89299183931,1469.32120882174,"2025-02-03","ez47fwm7a025","Lunar Owls","Vinyl",1,1544.4669204335,1481.09383163036,2025
"Phantom","Lunar Owls",0.33802014403834,0,-10.8166446092269,10.8166446092269,1459.31547059548,1597.70963644854,"2025-02-07","t4qkedtx86as","Phantom","Lunar Owls",0,1487.5338325065,1575.12036903069,2025
"Mist","Rose",0.498412321602947,0,-15.9491942912943,15.9491942912943,1458.47021971737,1491.47184395491,"2025-02-07","t4qkedtx86as","Mist","Rose",0,1474.41941400866,1455.54867651084,2025
"Lunar Owls","Mist",0.690300922394731,1,9.91037048336862,-9.91037048336862,1607.62000693191,1448.559849234,"2025-02-08",NA,"Lunar Owls","Mist",1,1586.89299183931,1453.46950152898,2025
"Vinyl","Laces",0.422359128705023,1,18.4845078814393,-18.4845078814393,1487.80571670318,1505.22711258052,"2025-02-08",NA,"Vinyl","Laces",1,1499.90572001473,1523.71162046196,2025
"Vinyl","Rose",0.494724214583128,0,-15.8311748666601,15.8311748666601,1471.97454183652,1507.30301882157,"2025-02-18","h1nn8q71jybo","Vinyl","Rose",0,1487.80571670318,1491.47184395491,2025
"Laces","Phantom",0.565690244684711,1,13.8979121700893,-13.8979121700893,1519.12502475061,1445.41755842539,"2025-02-18","h1nn8q71jybo","Laces","Phantom",1,1543.68559361474,1470.13211520471,2025
"Rose","Lunar Owls",0.359514723098025,1,20.4955288608632,-20.4955288608632,1527.79854768243,1587.12447807105,"2025-02-21","boyu8ar6k7zl","Rose","Lunar Owls",1,1475.52264966361,1597.70963644854,2025
"Vinyl","Mist",0.533645529629984,1,14.9233430518405,-14.9233430518405,1486.89788488836,1433.63650618216,"2025-02-21","boyu8ar6k7zl","Vinyl","Mist",1,1471.97454183652,1448.559849234,2025
"Lunar Owls","Laces",0.59662841595401,1,12.9078906894717,-12.9078906894717,1600.03236876052,1506.21713406114,"2025-02-22","73tp1uzii8x2","Lunar Owls","Laces",1,1607.62000693191,1505.22711258052,2025
"Phantom","Vinyl",0.440587033903071,1,17.9012149151017,-17.9012149151017,1463.3187733405,1468.99666997326,"2025-02-22","73tp1uzii8x2","Phantom","Vinyl",1,1459.31547059548,1469.32120882174,2025
"Rose","Phantom",0.591742970298323,1,13.0642249504537,-13.0642249504537,1540.86277263288,1450.25454839004,"2025-02-24","m92ditkrpg6g","Rose","Phantom",1,1527.79854768243,1445.41755842539,2025
"Mist","Laces",0.39704147201186,1,19.2946728956205,-19.2946728956205,1452.93117907778,1486.92246116552,"2025-02-24","m92ditkrpg6g","Mist","Laces",1,1458.47021971737,1506.21713406114,2025
"Laces","Vinyl",0.525774420791162,0,-16.8247814653172,16.8247814653172,1470.0976797002,1485.82145143857,"2025-02-28","wmma46sohv96","Laces","Vinyl",0,1519.12502475061,1468.99666997326,2025
"Phantom","Mist",0.496148095003901,0,-15.8767390401248,15.8767390401248,1434.37780934992,1468.80791811791,"2025-02-28","wmma46sohv96","Phantom","Mist",0,1463.3187733405,1433.63650618216,2025
"Vinyl","Lunar Owls",0.341312466181729,0,-10.9219989178153,10.9219989178153,1474.89945252076,1610.95436767833,"2025-03-01","vi8xu7g2nnws","Vinyl","Lunar Owls",0,1486.89788488836,1587.12447807105,2025
"Rose","Mist",0.602233737285037,0,-19.2714795931212,19.2714795931212,1521.59129303976,1488.07939771103,"2025-03-01","vi8xu7g2nnws","Rose","Mist",0,1540.86277263288,1468.80791811791,2025
"Laces","Rose",0.426432615537808,0,-13.6458436972099,13.6458436972099,1456.45183600299,1535.23713673697,"2025-03-03","2bp02n0q27tj","Laces","Rose",0,1470.0976797002,1507.30301882157,2025
"Lunar Owls","Phantom",0.734281770252017,1,8.50298335193546,-8.50298335193546,1619.45735103027,1425.87482599798,"2025-03-03","2bp02n0q27tj","Lunar Owls","Phantom",1,1600.03236876052,1450.25454839004,2025
"Phantom","Laces",0.456109403003041,0,-14.5955008960973,14.5955008960973,1411.27932510188,1471.04733689909,"2025-03-07","f3cv3sdbrtmw","Phantom","Laces",0,1434.37780934992,1486.92246116552,2025
"Lunar Owls","Rose",0.618883164923072,1,12.1957387224617,-12.1957387224617,1631.65308975273,1523.04139801451,"2025-03-07","f3cv3sdbrtmw","Lunar Owls","Rose",1,1619.45735103027,1535.23713673697,2025
"Laces","Mist",0.475508510157459,1,16.7837276749613,-16.7837276749613,1487.83106457405,1471.29567003607,"2025-03-08","v4kmebvfsfds","Laces","Mist",1,1456.45183600299,1488.07939771103,2025
"Vinyl","Phantom",0.590546948999091,0,-18.8975023679709,18.8975023679709,1456.00195015279,1430.17682746985,"2025-03-08","v4kmebvfsfds","Vinyl","Phantom",0,1474.89945252076,1425.87482599798,2025
"Mist","Lunar Owls",0.284328396724796,0,-9.09850869519348,9.09850869519348,1462.19716134087,1640.75159844792,"2025-03-10","h5sru56hfj20","Mist","Lunar Owls",0,1452.93117907778,1610.95436767833,2025
"Rose","Vinyl",0.595297748606841,1,12.9504720445811,-12.9504720445811,1535.99187005909,1443.05147810821,"2025-03-10","h5sru56hfj20","Rose","Vinyl",1,1521.59129303976,1485.82145143857,2025
"Rose","Laces",0.568868433708711,1,13.7962101213213,-13.7962101213213,1549.78808018041,1474.03485445273,"2025-03-16","jkfojym71xph","Rose","Laces",1,1535.99187005909,1471.04733689909,2025
"Lunar Owls","Vinyl",0.757322057048062,0,-24.234305825538,24.234305825538,1616.51729262239,1467.28578393374,"2025-03-16","jkfojym71xph","Lunar Owls","Vinyl",0,1631.65308975273,1443.05147810821,2025
"Rose","Vinyl",0.616547920856055,1,12.2704665326062,-12.2704665326062,1562.05854671302,1455.01531740114,"2025-03-17","xydxurm98lce","Rose","Vinyl",1,1549.78808018041,1467.28578393374,2025
