date,team,score,opponent,opponent_score,is_home,result,point_differential,season_type,wins,losses,games_played,h2h_wins,rank
2025-03-10,Lunar Owls,92,Mist,58,FALSE,W,170,REG,13,1,14,4,1
2025-03-16,Lunar Owls,70,Vinyl,73,TRUE,L,167,POST,13,2,15,0,1
2025-03-07,Lunar Owls,66,Rose,56,TRUE,W,136,REG,12,1,13,0,1
2025-03-03,Lunar Owls,92,Phantom,79,TRUE,W,126,REG,11,1,12,0,1
2025-03-01,Lunar Owls,78,Vinyl,72,FALSE,W,113,REG,10,1,11,0,1
2025-03-17,Rose,62,Vinyl,54,TRUE,W,48,POST,10,6,16,0,1
2025-02-22,Lunar Owls,88,Laces,60,TRUE,W,107,REG,9,1,10,0,1
2025-03-16,Rose,63,Laces,57,TRUE,W,40,POST,9,6,15,0,2
2025-03-10,Rose,74,Vinyl,46,TRUE,W,34,REG,8,6,14,4,2
2025-02-08,Lunar Owls,85,Mist,81,TRUE,W,88,REG,8,0,8,0,1
2025-02-21,Lunar Owls,63,Rose,72,FALSE,L,79,REG,8,1,9,0,1
2025-03-08,Laces,76,Mist,69,TRUE,W,20,REG,7,7,14,1,3
2025-02-07,Lunar Owls,94,Phantom,76,FALSE,W,84,REG,7,0,7,0,1
2025-03-03,Rose,58,Laces,53,FALSE,W,16,REG,7,5,12,0,2
2025-03-16,Laces,57,Rose,63,FALSE,L,14,POST,7,8,15,0,3
2025-03-07,Rose,56,Lunar Owls,66,FALSE,L,6,REG,7,6,13,0,2
2025-02-03,Lunar Owls,85,Vinyl,68,TRUE,W,66,REG,6,0,6,0,1
2025-02-24,Rose,71,Phantom,59,TRUE,W,20,REG,6,4,10,0,2
2025-03-07,Laces,73,Phantom,59,FALSE,W,13,REG,6,7,13,0,3
2025-03-01,Rose,62,Mist,71,TRUE,L,11,REG,6,5,11,0,2
2025-03-16,Vinyl,73,Lunar Owls,70,FALSE,W,-51,POST,6,9,15,0,4
2025-03-17,Vinyl,54,Rose,62,FALSE,L,-59,POST,6,10,16,0,2
2025-03-10,Vinyl,46,Rose,74,FALSE,L,-54,REG,5,9,14,4,4
2025-02-21,Rose,72,Lunar Owls,63,TRUE,W,8,REG,5,4,9,3,2
2025-03-01,Mist,71,Rose,62,FALSE,W,11,REG,5,7,12,2,3
2025-02-28,Vinyl,64,Laces,63,FALSE,W,-14,REG,5,6,11,2,3
2025-03-01,Vinyl,72,Lunar Owls,78,TRUE,L,-20,REG,5,7,12,2,4
2025-03-10,Mist,58,Lunar Owls,92,TRUE,L,-30,REG,5,9,14,2,5
2025-02-22,Laces,60,Lunar Owls,88,FALSE,L,21,REG,5,4,9,1,3
2025-02-28,Laces,63,Vinyl,64,TRUE,L,4,REG,5,6,11,1,4
2025-03-08,Mist,69,Laces,76,FALSE,L,4,REG,5,8,13,1,4
2025-03-03,Laces,53,Rose,58,TRUE,L,-1,REG,5,7,12,1,5
2025-03-08,Vinyl,74,Phantom,80,TRUE,L,-26,REG,5,8,13,1,5
2025-01-31,Lunar Owls,75,Laces,73,FALSE,W,49,REG,5,0,5,0,1
2025-02-18,Laces,75,Phantom,68,TRUE,W,49,REG,5,3,8,0,2
2025-02-24,Laces,49,Mist,65,FALSE,L,5,REG,5,5,10,0,3
2025-01-27,Lunar Owls,67,Vinyl,57,FALSE,W,47,REG,4,0,4,2,1
2025-03-08,Phantom,80,Vinyl,74,FALSE,W,-140,REG,4,10,14,1,6
2025-01-27,Laces,71,Rose,64,FALSE,W,69,REG,4,0,4,0,2
2025-01-31,Laces,73,Lunar Owls,75,TRUE,L,67,REG,4,1,5,0,2
2025-02-01,Laces,69,Rose,83,FALSE,L,53,REG,4,2,6,0,2
2025-02-08,Laces,0,Vinyl,11,FALSE,L,42,REG,4,3,7,0,2
2025-02-28,Mist,88,Phantom,62,FALSE,W,2,REG,4,7,11,0,5
2025-02-18,Rose,61,Vinyl,55,FALSE,W,-1,REG,4,4,8,0,3
2025-02-21,Vinyl,72,Mist,65,TRUE,W,-8,REG,4,5,9,0,4
2025-02-22,Vinyl,72,Phantom,79,FALSE,L,-15,REG,4,6,10,0,4
2025-02-07,Rose,71,Mist,63,FALSE,W,-7,REG,3,4,7,3,3
2025-01-25,Lunar Owls,82,Phantom,58,TRUE,W,37,REG,3,0,3,2,1
2025-02-24,Mist,65,Laces,49,TRUE,W,-24,REG,3,7,10,2,5
2025-02-08,Vinyl,11,Laces,0,TRUE,W,-9,REG,3,4,7,1,4
2025-02-24,Phantom,59,Rose,71,FALSE,L,-93,REG,3,7,10,1,6
2025-01-24,Laces,83,Vinyl,79,TRUE,W,62,REG,3,0,3,0,2
2025-02-18,Vinyl,55,Rose,61,TRUE,L,-15,REG,3,5,8,0,4
