game_id,team,field_goals,field_goal_pct,three_pointers,three_point_pct,free_throws,free_throw_pct
225g2kfh1838,team_a,18-57,31.6,0-13,0,5-8,62.5
225g2kfh1838,team_b,30-67,44.8,9-19,47.4,3-3,100
2bp02n0q27tj,team_a,25-59,42.4,4-11,36.4,2-4,50
2bp02n0q27tj,team_b,24-56,42.9,4-19,21.1,1-4,25
3bofd398uen2,team_a,21-53,39.6,7-24,29.2,11-14,78.6
3bofd398uen2,team_b,19-61,31.1,6-27,22.2,10-12,83.3
6vgjcmphd6wm,team_a,25-55,45.5,4-18,22.2,8-10,80
6vgjcmphd6wm,team_b,31-57,54.4,5-14,35.7,4-4,100
73tp1uzii8x2,team_a,20-48,41.7,4-16,25,9-9,100
73tp1uzii8x2,team_b,33-60,55,7-21,33.3,9-10,90
9lv36oskmne9,team_a,20-60,33.3,5-18,27.8,2-2,100
9lv36oskmne9,team_b,26-57,45.6,2-13,15.4,6-7,85.7
9t71p5ri5690,team_a,18-57,31.6,2-15,13.3,3-6,50
9t71p5ri5690,team_b,25-65,38.5,6-19,31.6,4-5,80
b0zhbxptb17f,team_a,27-54,50,4-16,25,6-10,60
b0zhbxptb17f,team_b,31-58,53.4,4-10,40,12-12,100
boyu8ar6k7zl,team_a,24-57,42.1,3-14,21.4,6-8,75
boyu8ar6k7zl,team_b,28-57,49.1,3-9,33.3,7-10,70
cvf9757d5r0n,team_a,30-64,46.9,7-11,63.6,8-10,80
cvf9757d5r0n,team_b,33-64,51.6,5-14,35.7,10-10,100
cy9e2nxmf95w,team_a,33-58,56.9,13-29,44.8,4-6,66.7
cy9e2nxmf95w,team_b,18-55,32.7,9-25,36,2-6,33.3
ez47fwm7a025,team_a,24-57,42.1,3-11,27.3,5-7,71.4
ez47fwm7a025,team_b,23-60,38.3,8-19,42.1,7-7,100
f0yh4kyfe5iy,team_a,28-48,58.3,4-11,36.4,9-13,69.2
f0yh4kyfe5iy,team_b,27-48,56.3,8-18,44.4,6-8,75
f3cv3sdbrtmw,team_a,29-60,48.3,10-30,33.3,3-4,75
f3cv3sdbrtmw,team_b,24-53,45.3,6-20,30,3-4,75
h1nn8q71jybo,team_a,22-55,40,2-14,14.3,9-10,90
h1nn8q71jybo,team_b,16-51,31.4,4-15,26.7,10-13,76.9
h5sru56hfj20,team_a,38-61,62.3,3-7,42.9,8-9,88.9
h5sru56hfj20,team_b,24-63,38.1,4-14,28.6,3-5,60
hkj9hfyr4qo6,team_a,33-55,60,9-20,45,8-10,80
hkj9hfyr4qo6,team_b,22-53,41.5,6-20,30,7-10,70
i8dadcvtugiq,team_a,26-55,47.3,6-22,27.3,5-8,62.5
i8dadcvtugiq,team_b,27-58,46.6,4-19,21.1,9-9,100
j2riqv1tez5e,team_a,32-59,54.2,9-21,42.9,4-5,80
j2riqv1tez5e,team_b,32-59,54.2,8-18,44.4,7-9,77.8
jb3jklxmsrks,team_a,29-63,46,7-21,33.3,7-9,77.8
jb3jklxmsrks,team_b,27-63,42.9,6-16,37.5,7-8,87.5
jcdgg9yavn4e,team_a,32-63,50.8,7-20,35,7-12,58.3
jcdgg9yavn4e,team_b,30-67,44.8,6-21,28.6,8-10,80
jkfojym71xph,team_a,21-47,44.7,6-16,37.5,6-6,100
jkfojym71xph,team_b,25-49,51,5-11,45.5,4-6,66.7
l2hm8pzz4m66,team_a,25-57,43.9,4-11,36.4,9-14,64.3
l2hm8pzz4m66,team_b,23-58,39.7,3-16,18.8,8-10,80
lrsm6npgthbs,team_a,25-59,42.4,7-20,35,9-10,90
lrsm6npgthbs,team_b,29-64,45.3,7-23,30.4,9-9,100
lx6351tnkhnu,team_a,28-62,45.2,11-26,42.3,7-7,100
lx6351tnkhnu,team_b,37-69,53.6,8-24,33.3,6-7,85.7
m92ditkrpg6g,team_a,25-54,46.3,5-14,35.7,2-5,40
m92ditkrpg6g,team_b,27-64,42.2,10-23,43.5,4-4,100
m9sh1b3jm0p1,team_a,27-52,51.9,8-22,36.4,4-5,80
m9sh1b3jm0p1,team_b,31-63,49.2,4-13,30.8,10-13,76.9
nyf4d8danani,team_a,28-61,45.9,6-14,42.9,5-5,100
nyf4d8danani,team_b,25-54,46.3,2-11,18.2,8-10,80
o2o27kwyy1z5,team_a,25-60,41.7,4-20,20,3-6,50
o2o27kwyy1z5,team_b,27-59,45.8,10-23,43.5,9-10,90
pbvi0f8wzbqe,team_a,24-58,41.4,3-13,23.1,3-5,60
pbvi0f8wzbqe,team_b,30-59,50.8,1-11,9.1,3-6,50
pd433x3z9okv,team_a,29-59,49.2,9-24,37.5,7-8,87.5
pd433x3z9okv,team_b,26-61,42.6,13-28,46.4,5-10,50
s20y4hqwjl98,team_a,30-65,46.2,8-20,40,4-8,50
s20y4hqwjl98,team_b,29-57,50.9,9-15,60,3-6,50
sjrwaj31kq62,team_a,24-59,40.7,4-16,25,8-9,88.9
sjrwaj31kq62,team_b,29-50,58,3-6,50,8-10,80
t4qkedtx86as,team_a,33-59,55.9,9-17,52.9,9-9,100
t4qkedtx86as,team_b,29-49,59.2,5-13,38.5,7-9,77.8
t6gd1wnapycm,team_a,30-68,44.1,2-14,14.3,6-7,85.7
t6gd1wnapycm,team_b,24-55,43.6,1-10,10,7-10,70
v4kmebvfsfds,team_a,28-57,49.1,3-6,50,5-7,71.4
v4kmebvfsfds,team_b,31-68,45.6,10-24,41.7,3-6,50
vi8xu7g2nnws,team_a,33-57,57.9,2-10,20,5-9,55.6
vi8xu7g2nnws,team_b,28-54,51.9,7-20,35,5-11,45.5
vmem0ntfgge0,team_a,27-57,47.4,3-11,27.3,5-7,71.4
vmem0ntfgge0,team_b,27-53,50.9,7-14,50,6-10,60
wmma46sohv96,team_a,24-56,42.9,6-18,33.3,5-6,83.3
wmma46sohv96,team_b,25-56,44.6,6-17,35.3,3-4,75
xagwq6rm8vw7,team_a,29-50,58,3-10,30,6-10,60
xagwq6rm8vw7,team_b,33-59,55.9,6-16,37.5,5-7,71.4
xydxurm98lce,team_a,19-54,35.2,4-18,22.2,6-9,66.7
xydxurm98lce,team_b,27-58,46.6,2-13,15.4,4-5,80
yogi89xx6aw5,team_a,26-59,44.1,3-9,33.3,7-7,100
yogi89xx6aw5,team_b,22-65,33.8,7-20,35,3-3,100
zfxe4imyud75,team_a,27-63,42.9,3-16,18.8,4-7,57.1
zfxe4imyud75,team_b,29-51,56.9,12-19,63.2,2-5,40
zvudhzbxaaiq,team_a,22-54,40.7,7-22,31.8,10-12,83.3
zvudhzbxaaiq,team_b,33-62,53.2,5-13,38.5,6-9,66.7
